Date, Open, High, Low, Close
02/25/22, 29.9500, 30.1500, 29.8500, 30.0500
02/24/22, 29.9500, 29.9500, 29.5500, 29.9500
02/23/22, 29.1500, 29.9500, 29.0500, 29.9500
02/22/22, 28.7500, 29.2500, 28.6500, 29.1500
02/21/22, 28.4500, 28.8500, 28.3500, 28.7500
02/18/22, 28.3500, 28.5500, 28.2500, 28.4500
02/17/22, 28.1500, 28.5500, 28.1500, 28.3500
02/16/22, 28.2500, 28.3500, 28.0500, 28.1500
02/15/22, 28.5500, 28.6500, 28.1500, 28.2500
02/14/22, 28.1500, 28.8500, 28.1500, 28.5500
02/11/22, 28.0500, 28.2500, 27.8500, 28.1500
02/10/22, 27.9500, 28.1500, 27.7500, 28.0500
02/09/22, 28.0500, 28.1500, 27.8500, 27.9500
02/08/22, 27.9500, 28.1500, 27.8500, 28.0500
02/07/22, 28.1500, 28.2500, 27.8500, 27.9500
02/04/22, 28.2500, 28.4500, 28.0500, 28.1500
02/03/22, 28.3500, 28.4500, 28.1500, 28.2500
02/02/22, 28.4500, 28.6500, 28.2500, 28.3500
02/01/22, 28.4500, 28.6500, 28.2500, 28.4500
01/31/22, 28.7500, 28.7500, 28.3500, 28.4500
01/28/22, 28.9500, 29.0500, 28.5500, 28.7500
01/27/22, 28.9500, 29.1500, 28.8500, 28.9500
01/26/22, 28.7500, 29.0500, 28.6500, 28.9500
01/25/22, 28.4500, 28.8500, 28.4500, 28.7500
01/24/22, 28.2500, 28.8500, 28.2500, 28.4500
01/21/22, 28.3500, 28.4500, 28.1500, 28.2500
01/20/22, 28.3500, 28.5500, 28.2500, 28.3500
01/19/22, 28.3500, 28.5500, 28.2500, 28.3500
01/18/22, 28.3500, 28.6500, 28.2500, 28.3500
01/17/22, 28.0500, 28.4500, 27.9500, 28.3500
01/14/22, 27.9500, 28.1500, 27.7500, 28.0500
01/13/22, 27.8500, 28.0500, 27.6500, 27.9500
01/12/22, 27.7500, 27.9500, 27.5500, 27.8500
01/11/22, 27.5500, 27.8500, 27.4500, 27.7500
01/10/22, 27.5500, 27.6500, 27.4500, 27.5500
01/07/22, 27.5500, 27.5500, 27.5500, 27.5500
01/06/22, 27.5500, 27.6500, 27.4500, 27.5500
01/05/22, 27.5500, 27.6500, 27.3500, 27.5500
01/04/22, 27.3500, 27.6500, 27.2500, 27.5500
01/03/22, 27.3500, 27.3500, 27.2500, 27.3500
12/31/21, 27.3500, 27.3500, 27.3500, 27.3500
12/30/21, 27.1500, 27.4500, 27.1500, 27.3500
12/29/21, 27.1500, 27.3500, 27.1500, 27.1500
12/28/21, 27.3500, 27.4500, 27.1500, 27.1500
12/27/21, 27.3500, 27.3500, 27.2500, 27.3500
12/24/21, 27.1500, 27.4500, 27.1500, 27.3500
12/23/21, 27.3500, 27.4500, 27.1500, 27.1500
12/22/21, 27.2500, 27.4500, 27.1500, 27.3500
12/21/21, 27.3500, 27.4500, 27.1500, 27.2500
12/20/21, 27.3500, 27.4500, 27.2500, 27.3500
12/17/21, 27.2500, 27.4500, 27.1500, 27.3500
12/16/21, 27.2500, 27.3500, 27.0500, 27.2500
12/15/21, 27.1500, 27.4500, 27.0500, 27.2500
12/14/21, 27.0500, 27.2500, 26.8500, 27.1500
12/13/21, 26.9500, 27.1500, 26.8500, 27.0500
12/10/21, 27.1500, 27.2500, 26.8500, 26.9500
12/09/21, 27.2500, 27.3500, 26.9500, 27.1500
12/08/21, 27.3500, 27.4500, 27.1500, 27.2500
12/07/21, 27.3500, 27.5500, 27.2500, 27.3500
12/06/21, 27.3500, 27.5500, 27.2500, 27.3500
12/03/21, 27.2500, 27.4500, 27.1500, 27.3500
12/02/21, 27.4500, 27.5500, 27.1500, 27.2500
12/01/21, 27.2500, 27.5500, 27.0500, 27.4500
11/30/21, 27.3500, 27.4500, 27.0500, 27.2500
11/29/21, 27.1500, 27.4500, 27.0500, 27.3500
11/26/21, 27.1500, 27.2500, 26.9500, 27.1500
11/25/21, 27.0500, 27.2500, 26.9500, 27.1500
11/24/21, 26.9500, 27.1500, 26.8500, 27.0500
11/23/21, 26.8500, 27.0500, 26.7500, 26.9500
11/22/21, 26.6500, 26.9500, 26.5500, 26.8500
11/19/21, 26.5500, 26.7500, 26.4500, 26.6500
11/18/21, 26.5500, 26.6500, 26.3500, 26.5500
11/17/21, 26.5500, 26.7500, 26.3500, 26.5500
11/16/21, 26.3500, 26.6500, 26.2500, 26.5500
11/15/21, 26.3500, 26.5500, 26.0500, 26.3500
11/12/21, 26.1500, 26.4500, 26.0500, 26.3500
11/11/21, 26.2500, 26.3500, 26.0500, 26.1500
11/10/21, 26.1500, 26.2500, 25.9500, 26.2500
11/09/21, 26.1500, 26.2500, 26.0500, 26.1500
11/08/21, 26.1500, 26.3500, 26.0500, 26.1500
11/05/21, 26.1500, 26.2500, 26.0500, 26.1500
11/04/21, 26.3500, 26.4500, 26.0500, 26.1500
11/03/21, 26.3500, 26.4500, 26.1500, 26.3500
11/02/21, 26.3500, 26.4500, 26.2500, 26.3500
11/01/21, 26.3500, 26.5500, 26.2500, 26.3500
10/29/21, 26.3500, 26.4500, 26.2500, 26.3500
10/28/21, 26.4500, 26.5500, 26.2500, 26.3500
10/27/21, 26.4500, 26.5500, 26.3500, 26.4500
10/26/21, 26.4500, 26.6500, 26.3500, 26.4500
10/25/21, 26.3500, 26.6500, 26.2500, 26.4500
10/22/21, 26.3500, 26.4500, 26.2500, 26.3500
10/21/21, 26.2500, 26.5500, 26.1500, 26.3500
10/20/21, 26.3500, 26.3500, 26.1500, 26.2500
10/19/21, 26.3500, 26.4500, 26.1500, 26.3500
10/18/21, 26.4500, 26.5500, 26.2500, 26.3500
10/15/21, 26.4500, 26.4500, 26.4500, 26.4500
10/14/21, 26.4500, 26.4500, 26.3500, 26.4500
10/13/21, 26.4500, 26.5500, 26.2500, 26.4500
10/12/21, 26.4500, 26.5500, 26.2500, 26.4500
10/11/21, 26.4500, 26.5500, 26.2500, 26.4500
